Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,23.400000,23.430000,23.270000,23.379999,23.379999,870163
2019-12-30,23.280001,23.350000,23.010000,23.200001,23.200001,599737
2019-12-31,23.040001,23.110001,22.690001,22.740000,22.740000,504112
2020-01-02,23.000000,23.000000,22.790001,22.830000,22.830000,2354838
2020-01-03,22.799999,23.000000,22.660000,22.900000,22.900000,636550
2020-01-06,22.850000,23.080000,22.750000,22.860001,22.860001,892317
2020-01-07,22.900000,23.010000,22.430000,22.510000,22.510000,941717
2020-01-08,22.420000,22.730000,22.370001,22.719999,22.719999,870389
2020-01-09,22.799999,23.049999,22.650000,23.000000,23.000000,1037312
2020-01-10,23.100000,23.110001,22.870001,22.959999,22.959999,1405420
2020-01-13,23.000000,23.030001,22.760000,22.870001,22.870001,627794
2020-01-14,22.870001,23.010000,22.700001,22.750000,22.750000,1767245
2020-01-15,22.750000,22.809999,22.420000,22.760000,22.760000,1277435
2020-01-16,22.740000,23.389999,22.740000,23.320000,23.320000,1209666
2020-01-17,23.400000,23.790001,23.320000,23.690001,23.690001,1511368
2020-01-20,23.690001,24.150000,23.620001,24.000000,24.000000,809202
2020-01-21,23.889999,24.120001,23.770000,24.040001,24.040001,951377
2020-01-22,24.100000,24.200001,23.889999,24.040001,24.040001,1444306
2020-01-23,23.969999,24.360001,23.940001,24.150000,24.150000,869148
2020-01-24,24.260000,24.400000,24.129999,24.129999,24.129999,911690
2020-01-27,23.959999,24.180000,23.840000,24.100000,24.100000,778122
2020-01-28,24.110001,24.480000,24.110001,24.389999,24.389999,678241
2020-01-29,24.420000,24.500000,24.260000,24.430000,24.430000,717078
2020-01-30,24.320000,24.740000,24.299999,24.379999,24.379999,789721
2020-01-31,24.400000,24.570000,24.219999,24.320000,24.320000,1023315
2020-02-03,24.350000,24.450001,24.170000,24.250000,24.250000,746982
2020-02-04,24.430000,24.500000,24.170000,24.379999,24.379999,587630
2020-02-05,24.389999,24.660000,24.030001,24.540001,24.540001,1187668
2020-02-06,24.610001,24.750000,24.500000,24.750000,24.750000,901801
2020-02-07,24.590000,24.889999,24.480000,24.850000,24.850000,1103155
2020-02-10,24.780001,24.940001,24.709999,24.799999,24.799999,908582
2020-02-11,24.900000,25.150000,24.750000,25.040001,25.040001,836757
2020-02-12,25.129999,25.629999,25.040001,25.219999,25.219999,1749981
2020-02-13,25.180000,25.379999,25.110001,25.180000,25.180000,995898
2020-02-14,25.260000,25.629999,25.260000,25.629999,25.629999,1328694
2020-02-17,25.540001,25.610001,25.370001,25.510000,25.510000,1407005
2020-02-18,25.299999,25.480000,25.100000,25.290001,25.290001,1639705
2020-02-19,25.230000,26.059999,24.850000,25.620001,25.620001,1921007
2020-02-20,25.620001,25.780001,25.290001,25.610001,25.610001,1037939
2020-02-21,25.660000,26.260000,25.549999,26.040001,26.040001,1461134
2020-02-24,25.549999,25.660000,25.020000,25.049999,25.049999,1460989
2020-02-25,25.090000,25.250000,24.250000,24.299999,24.299999,2030151
2020-02-26,24.100000,24.420000,23.820000,24.180000,24.180000,2238970
2020-02-27,24.010000,24.129999,23.360001,23.459999,23.459999,2113883
2020-02-28,23.000000,23.400000,22.639999,23.400000,23.400000,3534627
2020-03-02,23.610001,23.950001,23.030001,23.430000,23.430000,1552765
2020-03-03,23.780001,24.020000,23.549999,23.650000,23.650000,3018803
2020-03-04,23.780001,24.020000,23.520000,24.020000,24.020000,1176442
2020-03-05,24.160000,24.160000,23.299999,23.430000,23.430000,1154551
2020-03-06,23.100000,23.180000,22.129999,22.250000,22.250000,1547966
2020-03-09,21.049999,21.660000,20.280001,20.309999,20.309999,3005171
2020-03-10,20.639999,20.750000,19.264999,19.264999,19.264999,1873008
2020-03-11,19.410000,19.825001,18.705000,18.780001,18.780001,3706196
2020-03-12,17.910000,18.200001,16.000000,16.000000,16.000000,4119004
2020-03-13,16.775000,18.469999,16.615000,17.375000,17.375000,2448352
2020-03-16,16.655001,16.910000,15.455000,16.500000,16.500000,3806547
2020-03-17,16.940001,17.559999,16.379999,17.330000,17.330000,1850405
2020-03-18,17.245001,18.549999,16.870001,18.260000,18.260000,1680259
2020-03-19,18.549999,19.540001,18.000000,18.705000,18.705000,2114227
2020-03-20,18.700001,19.610001,18.100000,18.389999,18.389999,2949445
2020-03-23,17.900000,18.920000,17.000000,17.855000,17.855000,1167061
2020-03-24,18.365000,18.764999,17.490000,18.040001,18.040001,1657104
2020-03-25,18.760000,18.889999,18.025000,18.245001,18.245001,1179893
2020-03-26,18.020000,18.750000,18.020000,18.750000,18.750000,816648
2020-03-27,18.719999,19.020000,17.860001,17.955000,17.955000,963241
2020-03-30,17.920000,18.285000,17.684999,17.889999,17.889999,1152549
2020-03-31,18.105000,18.350000,17.719999,18.094999,18.094999,1750666
2020-04-01,17.815001,18.424999,17.809999,18.000000,18.000000,1086279
2020-04-02,18.100000,18.510000,17.780001,18.510000,18.510000,851653
2020-04-03,18.520000,18.745001,18.084999,18.459999,18.459999,1235022
2020-04-06,19.135000,19.135000,18.375000,18.440001,18.440001,635994
2020-04-07,18.799999,19.305000,18.575001,19.110001,19.110001,880467
2020-04-08,18.900000,19.180000,18.510000,19.040001,19.040001,523173
2020-04-09,19.000000,20.139999,18.920000,20.090000,20.090000,1137458
2020-04-14,20.379999,20.469999,19.299999,19.875000,19.875000,1496287
2020-04-15,19.850000,19.900000,19.260000,19.395000,19.395000,919866
2020-04-16,19.590000,20.100000,19.389999,19.820000,19.820000,976095
2020-04-17,19.955000,20.219999,19.299999,19.555000,19.555000,814287
2020-04-20,19.790001,19.820000,19.150000,19.395000,19.395000,671492
2020-04-21,20.150000,20.150000,19.575001,20.090000,20.090000,1031074
2020-04-22,20.250000,21.059999,20.200001,20.980000,20.980000,1186327
2020-04-23,21.000000,21.280001,20.700001,21.020000,21.020000,868175
2020-04-24,20.840000,21.059999,20.230000,20.389999,20.389999,615739
2020-04-27,20.799999,20.799999,20.000000,20.230000,20.230000,793106
2020-04-28,20.320000,20.320000,19.965000,20.200001,20.200001,1301064
2020-04-29,20.190001,20.950001,20.080000,20.730000,20.730000,589690
2020-04-30,20.799999,21.520000,20.620001,21.290001,21.290001,1275125
2020-05-04,20.750000,20.750000,20.010000,20.010000,20.010000,913428
2020-05-05,20.490000,20.809999,20.100000,20.799999,20.799999,622574
2020-05-06,20.500000,20.660000,20.309999,20.379999,20.379999,920306
2020-05-07,20.389999,20.690001,20.250000,20.440001,20.440001,521535
2020-05-08,20.600000,20.650000,20.500000,20.590000,20.590000,313661
2020-05-11,20.799999,20.830000,20.480000,20.690001,20.690001,573329
2020-05-12,20.559999,21.110001,20.559999,21.080000,21.080000,960916
2020-05-13,20.920000,22.020000,20.850000,21.719999,21.719999,1129002
2020-05-14,21.500000,21.629999,20.950001,21.360001,21.360001,719330
2020-05-15,21.670000,21.879999,21.340000,21.340000,21.340000,864621
2020-05-18,21.400000,21.549999,20.820000,21.270000,21.270000,837657
2020-05-19,21.430000,21.440001,20.330000,20.330000,20.330000,1934745
2020-05-20,20.350000,20.809999,20.170000,20.690001,20.690001,1074507
2020-05-21,20.629999,20.930000,20.490000,20.740000,20.740000,825206
2020-05-22,20.490000,20.610001,20.299999,20.480000,20.480000,892018
2020-05-25,20.680000,20.850000,20.510000,20.850000,20.850000,358785
2020-05-26,20.950001,21.129999,20.680000,21.129999,21.129999,1473745
